index,prediction
0,2.63 inch
1,42 centimetre
2,
3,
4,
5,
6,
7,1.4 inch
8,30 centimetre
9,40 centimetre
10,1 ton
11,41.6 centimetre
12,
13,4.3 inch
14,
15,
16,
17,
18,
19,240 volt
20,120 centimetre
21,74 inch
22,215 millilitre
23,32 centimetre
24,
25,
26,
27,
28,9.5 kilogram
29,2.62 pound
30,
31,
32,
33,
34,5.8 inch
35,3 pound
36,76.5 inch
37,
38,
39,
40,47.2 inch
41,9 inch
42,96 inch
43,48 inch
44,60 centimetre
45,5.8 inch
46,5.8 inch
47,
48,47 inch
49,
50,35 inch
51,
52,
53,5 inch
54,5 inch
55,187.96 centimetre
56,8 ton
57,
58,47.2 inch
59,
60,
61,
62,100 metre
63,100 metre
64,280 metre
65,3.7 volt
66,1.92 ton
67,383.5 centimetre
68,
69,4.2 inch
70,
71,
72,9.1 inch
73,
74,1500 watt
75,
76,4.7 inch
77,
78,
79,50 centimetre
80,
81,243 pound
82,11.1 pound
83,10 ounce
84,39 inch
85,
86,
87,
88,
89,
90,60 centimetre
91,200 pound
92,500 metre
93,7.6 inch
94,
95,14 centimetre
96,14 centimetre
97,9.6 volt
98,3.8 centimetre
99,
100,37 inch
101,2 fluid ounce
102,
103,62 centimetre
104,40 centimetre
105,16 centimetre
106,20 centimetre
107,60 centimetre
108,8 ounce
109,40 centimetre
110,8 centimetre
111,
112,650 watt
113,
114,
115,500 watt
116,1.05 ounce
117,
118,10 centimetre
119,45 centimetre
120,3.5 ounce
121,165 centimetre
122,
123,6601 pound
124,1 kilogram
125,
126,12 volt
127,191 centimetre
128,180 centimetre
129,7.8 pound
130,40 centimetre
131,
132,25.6 inch
133,
134,50 pound
135,20.0 centimetre
136,
137,18.5 centimetre
138,9.45 centimetre
139,11.5 metre
140,100 metre
141,3 centimetre
142,82 inch
143,33 inch
144,
145,90 centimetre
146,10 centimetre
147,20 litre
148,50 centimetre
149,
150,1 ton
151,74.93 centimetre
152,3.14 inch
153,7.86 inch
154,10 centimetre
155,5 centimetre
156,118 metre
157,74 inch
158,30.3 inch
159,2.31 pound
160,13 centimetre
161,
162,82 centimetre
163,10 inch
164,
165,24 volt
166,
167,6 kilogram
168,10.5 centimetre
169,35 centimetre
170,
171,33.1 inch
172,31 ounce
173,1.1 inch
174,7.8 inch
175,14 centimetre
176,
177,23.8 inch
178,20 pound
179,5.9 inch
180,1.1 inch
181,32 ounce
182,24 centimetre
183,
184,180 millivolt
185,
186,7.19 centimetre
187,
188,2.7 inch
189,
190,
191,
192,40 centimetre
193,6.2 pound
194,20 centimetre
195,10.4 centimetre
196,27.4 centimetre
197,
198,
199,
200,37.5 centimetre
201,
202,37.5 centimetre
203,10 inch
204,10 inch
205,1700 watt
206,
207,5 inch
208,8 ounce
209,8 kilogram
210,213.5 metre
211,65 milligram
212,128 centimetre
213,
214,60 centimetre
215,151.5 centimetre
216,12 volt
217,
218,
219,
220,8.1 inch
221,8.1 inch
222,43.18 centimetre
223,50.7 pound
224,6.5 foot
225,3 foot
226,19.5 centimetre
227,4 ounce
228,4 ton
229,
230,
231,5 centimetre
232,
233,70 centimetre
234,160 centimetre
235,75.6 inch
236,35 centimetre
237,
238,
239,60 centimetre
240,60 centimetre
241,180 centimetre
242,7 centimetre
243,
244,
245,15.1 centimetre
246,7.6 centimetre
247,78 centimetre
248,35 centimetre
249,2.32 inch
250,4.6 inch
251,45 centimetre
252,
253,40 millilitre
254,55 centimetre
255,
256,16 centimetre
257,
258,76 centimetre
259,
260,135 pound
261,135 pound
262,45 centimetre
263,18.5 inch
264,39 inch
265,2.55 inch
266,2.55 inch
267,11.6 inch
268,20 centimetre
269,
270,5.90 inch
271,5.90 inch
272,2.75 inch
273,
274,6.4 inch
275,
276,
277,6.72 watt
278,12 volt
279,
280,8.2 inch
281,
282,
283,
284,12 ounce
285,11 centimetre
286,27 centimetre
287,380 volt
288,3.5 inch
289,8 inch
290,
291,39 centimetre
292,
293,965 kilogram
294,
295,2.55 inch
296,44.88 inch
297,63 inch
298,
299,
300,
301,22 volt
302,
303,
304,
305,300 metre
306,
307,25 inch
308,45 pound
309,
310,1.8 inch
311,5 centimetre
312,1080 ton
313,
314,
315,21 centimetre
316,5.0 centimetre
317,6 centimetre
318,15 centimetre
319,1.7 kilogram
320,7.5 centimetre
321,
322,5 inch
323,180 volt
324,
325,
326,15.5 centimetre
327,7 centimetre
328,7 centimetre
329,
