index,prediction
0,2.63 inch
1,42 centimetre
2,200 centimetre
3,2.5 centimetre
4,100 centimetre
5,90 centimetre
6,10.50 centimetre
7,1.4 inch
8,40 centimetre
9,40 centimetre
10,1 ton
11,30.6 centimetre
12,4.3 inch
13,4.3 inch
14,4.3 inch
15,
16,100 gram
17,1 pound
18,
19,240 volt
20,76 centimetre
21,9 inch
22,215 millilitre
23,185 centimetre
24,185 centimetre
25,3.8 inch
26,3.8 inch
27,320 gram
28,9.5 kilogram
29,2.62 pound
30,
31,
32,5.8 inch
33,5.8 inch
34,5.8 inch
35,3 pound
36,76.5 inch
37,
38,
39,5.4 inch
40,5.4 inch
41,74 inch
42,48 inch
43,48 inch
44,60 centimetre
45,5.8 inch
46,5.8 inch
47,5.8 inch
48,35 inch
49,35 inch
50,35 inch
51,
52,
53,5 inch
54,5 inch
55,12.7 centimetre
56,8 ton
57,5.4 inch
58,5.4 inch
59,
60,2 millivolt
61,
62,100 millimetre
63,100 millimetre
64,100 millimetre
65,3.7 volt
66,1.92 ton
67,151 inch
68,4.2 inch
69,4.2 inch
70,4.2 inch
71,9.1 inch
72,9.1 inch
73,9.1 inch
74,1500 watt
75,230 millivolt
76,4.7 inch
77,4.7 inch
78,240 gram
79,50 centimetre
80,2350 gram
81,243 pound
82,11.1 pound
83,10 ounce
84,39 inch
85,39 inch
86,39 inch
87,
88,130 millivolt
89,
90,60 centimetre
91,200 pound
92,400 millimetre
93,23.95 inch
94,
95,14 centimetre
96,14 centimetre
97,9.6 volt
98,80 centimetre
99,14.9 inch
100,37 inch
101,2 fluid ounce
102,
103,90 centimetre
104,40 centimetre
105,16 centimetre
106,16 centimetre
107,110 centimetre
108,8 ounce
109,40 centimetre
110,8 centimetre
111,284 gram
112,650 watt
113,
114,
115,500 watt
116,1.05 ounce
117,
118,45 centimetre
119,45 centimetre
120,3.5 ounce
121,31.5 centimetre
122,250 gram
123,6601 pound
124,1 kilogram
125,
126,12 volt
127,191 centimetre
128,180 centimetre
129,7.8 pound
130,40 centimetre
131,25.6 inch
132,25.6 inch
133,25.6 inch
134,50 pound
135,20.0 centimetre
136,20.0 centimetre
137,18.5 centimetre
138,29.95 centimetre
139,100 millimetre
140,100 millimetre
141,3 centimetre
142,82 inch
143,82 inch
144,90 centimetre
145,90 centimetre
146,90 centimetre
147,20 litre
148,50 centimetre
149,50 centimetre
150,1 ton
151,74.93 centimetre
152,7.86 inch
153,7.86 inch
154,5 centimetre
155,5 centimetre
156,50 millimetre
157,30.3 inch
158,30.3 inch
159,2.31 pound
160,13 centimetre
161,
162,82 centimetre
163,10 inch
164,250 gram
165,24 volt
166,
167,6 kilogram
168,35 centimetre
169,35 centimetre
170,
171,33.1 inch
172,31 ounce
173,7.8 inch
174,7.8 inch
175,14 centimetre
176,
177,23.8 inch
178,
179,5.9 inch
180,5.9 inch
181,32 ounce
182,74.5 centimetre
183,
184,180 millivolt
185,
186,7.19 centimetre
187,7.19 centimetre
188,2.7 inch
189,2.7 inch
190,10 gram
191,40 centimetre
192,40 centimetre
193,6.2 pound
194,20 centimetre
195,27.4 centimetre
196,27.4 centimetre
197,
198,33 gram
199,
200,37.5 centimetre
201,37.5 centimetre
202,37.5 centimetre
203,10 inch
204,10 inch
205,1700 watt
206,
207,11 inch
208,8 ounce
209,8 kilogram
210,213.5 millimetre
211,65 milligram
212,128 centimetre
213,2000 millivolt
214,60 centimetre
215,60 centimetre
216,12 volt
217,
218,
219,20 kilogram
220,8.1 inch
221,8.1 inch
222,43.18 centimetre
223,50.7 pound
224,6.5 foot
225,6.5 foot
226,8.5 centimetre
227,4 ounce
228,16.8 kilogram
229,
230,
231,5 centimetre
232,364 gram
233,160 centimetre
234,160 centimetre
235,31.5 inch
236,5 centimetre
237,183 centimetre
238,183 centimetre
239,60 centimetre
240,60 centimetre
241,180 centimetre
242,7 centimetre
243,7 centimetre
244,33.3 inch
245,15.1 centimetre
246,15.1 centimetre
247,78 centimetre
248,180 centimetre
249,2.32 inch
250,2.32 inch
251,97 centimetre
252,130.5 gram
253,40 millilitre
254,35 centimetre
255,16 centimetre
256,16 centimetre
257,16 centimetre
258,76 centimetre
259,76 centimetre
260,135 pound
261,135 pound
262,45 centimetre
263,39 inch
264,39 inch
265,2.55 inch
266,2.55 inch
267,11.6 inch
268,20 centimetre
269,20 centimetre
270,2.75 inch
271,2.75 inch
272,2.75 inch
273,500 gram
274,1.5 inch
