index,prediction
0,199.39 centimetre
1,42 centimetre
2,200 centimetre
3,2.5 centimetre
4,100 centimetre
5,90 centimetre
6,10.50 centimetre
7,137.16 centimetre
8,40.00 centimetre
9,40.00 centimetre
10,
11,139.50 centimetre
12,10.00 centimetre
13,10.00 centimetre
14,10.00 centimetre
15,
16,100.00 gram
17,224.00 volt
18,224.00 volt
19,224.00 volt
20,120.00 centimetre
21,
22,215.00 millilitre
23,185.00 centimetre
24,32.00 centimetre
25,9.00 centimetre
26,9.00 centimetre
27,320.00 gram
28,1260.00 millimetre
29,2.62 pound
30,19.00 centimetre
31,200.00 millimetre
32,14.00 centimetre
33,14.00 centimetre
34,14.00 centimetre
35,3.00 pound
36,148.60 centimetre
37,
38,
39,90.00 centimetre
40,120.00 centimetre
41,
42,244.00 centimetre
43,244.00 centimetre
44,60.00 centimetre
45,14.00 centimetre
46,14.00 centimetre
47,14.00 centimetre
48,120.00 centimetre
49,90.00 centimetre
50,120.00 centimetre
51,200.00 millimetre
52,200.00 millimetre
53,5.00 centimetre
54,19.00 centimetre
55,187.96 centimetre
56,
57,90.00 centimetre
58,120.00 centimetre
59,2.00 metre
60,2.00 metre
61,
62,280.00 millimetre
63,100.00 millimetre
64,280.00 millimetre
65,1000.00 metre
66,
67,292.10 centimetre
68,10.00 centimetre
69,10.00 centimetre
70,10.00 centimetre
71,23.00 centimetre
72,23.00 centimetre
73,23.00 centimetre
74,1500.00 watt
75,1500.00 watt
76,12.00 centimetre
77,8.00 centimetre
78,240.00 gram
79,50.00 centimetre
80,2350.00 gram
81,243.00 pound
82,11.10 litre
83,283.00 gram
84,98.00 centimetre
85,98.00 centimetre
86,98.00 centimetre
87,130.00 metre
88,130.00 metre
89,130.00 metre
90,60.00 centimetre
91,200.00 litre
92,500.00 millimetre
93,
94,
95,14.00 centimetre
96,14.00 centimetre
97,19080556.00 millimetre
98,80.00 centimetre
99,11.00 centimetre
100,94.00 centimetre
101,59.00 millilitre
102,
103,90.00 centimetre
104,69.00 centimetre
105,20.00 centimetre
106,20.00 centimetre
107,110.00 centimetre
108,8.00 ounce
109,40.00 centimetre
110,80.00 centimetre
111,365.00 watt
112,650.00 watt
113,650.00 watt
114,5500.00 volt
115,5500.00 volt
116,30.00 gram
117,
118,45.00 centimetre
119,10.00 centimetre
120,100.00 gram
121,7.00 centimetre
122,250.00 gram
123,6601.00 pound
124,35.27 ounce
125,12.00 volt
126,12.00 volt
127,191.00 centimetre
128,180.00 centimetre
129,7.80 pound
130,40.00 centimetre
131,65.00 centimetre
132,65.00 centimetre
133,65.00 centimetre
134,50.00 pound
135,20.00 centimetre
136,2.90 centimetre
